"Word","Length","Ortho_N","BG_Sum","BG_Mean","BG_Freq_By_Pos","NWI_Mean_RT","NWI_SD","NWI_Zscore","Obs","NWI_Mean_Accuracy"
"Dorotly","7","1","8,354","1,392.333","1,583","870.783","198.739","-0.309","23","0.742"
"forsal","6","2","8,613","1,722.600","1,666","888.710","356.470","-0.250","31","0.886"
"cosage","6","1","6,049","1,209.800","2,384","817.793","224.213","-0.126","29","0.853"
"losages","7","1","9,534","1,589.000","1,615","803.179","344.484","-0.101","28","0.933"
"dosa","4","2","2,169","723.000","603","757.182","309.712","0.188","33","1.000"
"rosed","5","8","9,504","2,376.000","1,043","895.556","243.413","-0.120","9","0.265"
"joses","5","9","7,509","1,877.250","1,114","803.000","292.632","-0.110","28","0.848"
"dossiur","7","1","6,111","1,018.500","1,148","816.794","299.802","-0.081","34","0.971"
"Dosteevsky","10","1","11,056","1,228.444","1,995","853.357","345.355","-0.191","28","0.903"
"Dostoevspy's","12","1","9,039","821.727","1,581","1,012.839","314.754","-0.506","31","0.939"
"det","3","14","3,955","1,977.500","1,282","796.036","198.432","0.051","28","0.848"
"poting","6","7","17,571","3,514.200","1,871","884.333","346.720","-0.423","18","0.545"
"duts","4","10","2,307","769.000","532","759.179","172.186","-0.047","28","0.875"
"hotted","6","7","11,651","2,330.200","2,214","893.571","214.015","-0.862","14","0.438"
"fotting","7","6","17,758","2,959.667","3,338","712.906","204.278","0.196","32","0.941"
"motty","5","3","3,243","810.750","1,017","779.200","201.749","-0.058","30","0.857"
"dooble","6","2","6,469","1,293.800","1,609","851.214","253.016","-0.341","28","0.824"
"coubled","7","2","13,606","2,267.667","3,994","871.484","433.596","-0.161","31","0.939"
"doubleheoder","12","1","18,658","1,696.182","1,922","1,176.524","289.978","-1.410","21","0.636"
"woubles","7","1","11,475","1,912.500","2,307","740.185","309.220","0.136","27","0.818"
"doublethenk","11","1","15,764","1,576.400","2,201","999.679","418.733","-0.913","28","0.844"
"doublung","8","1","10,176","1,453.714","1,818","922.156","374.937","-0.417","32","0.941"
"poubloon","8","1","11,308","1,615.429","1,704","731.312","175.932","0.221","32","0.941"
"goubly","6","1","5,137","1,027.400","992","676.429","196.394","0.313","35","1.000"
"toubt","5","1","3,465","866.250","850","720.844","154.403","0.095","32","1.000"
"coubted","7","3","13,452","2,242.000","3,712","642.788","136.936","0.451","33","1.000"
"loubter","7","1","14,125","2,354.167","2,371","710.939","274.110","0.216","33","0.971"
"loubtful","8","1","5,084","726.286","1,056","793.794","261.724","0.093","34","1.000"
"doubtong","8","1","12,578","1,796.857","2,033","854.032","370.079","-0.090","31","0.969"
"doubtinfly","10","1","16,712","1,856.889","2,600","1,127.179","447.174","-1.112","28","0.903"
"noubtless","9","1","12,794","1,599.250","2,156","829.484","302.634","-0.345","31","0.939"
"roubts","6","1","5,248","1,049.600","985","750.273","311.476","0.020","33","0.971"
"pouche","6","1","6,460","1,292.000","1,707","883.556","451.888","-0.469","18","0.600"
"Doub","4","3","2,640","880.000","817","803.719","247.266","0.177","32","0.941"
"daugh","5","2","1,794","448.500","586","822.406","322.187","-0.222","32","0.914"
"soughnut","8","1","4,514","644.857","1,167","887.424","457.619","-0.122","33","1.000"
"doughnuttely","12","1","12,665","1,151.364","1,621","1,022.960","371.346","-0.854","25","0.893"
"dooghy","6","1","2,744","548.800","882","765.735","232.150","0.036","34","1.000"
"bour","4","11","3,793","1,264.333","1,055","873.462","407.014","-0.053","26","0.812"
"lourly","6","3","6,325","1,265.000","1,201","762.333","183.005","0.116","30","0.882"
"bouse","5","5","5,938","1,484.500","1,452","751.966","168.032","0.095","29","0.853"
"dousad","6","1","5,518","1,103.600","1,133","769.030","332.685","0.225","33","1.000"
"dobe","4","9","1,805","601.667","487","731.625","179.021","0.081","32","0.914"
"Dovor","5","2","4,139","1,034.750","878","821.696","312.227","0.032","23","0.676"
"toves","5","6","8,297","2,074.250","1,245","732.303","237.311","0.132","33","0.971"
"sovetail","8","1","8,806","1,258.000","1,408","832.419","375.153","0.009","31","0.939"
"sowager","7","1","10,289","1,714.833","1,752","742.677","226.231","0.105","31","0.939"
"powdy","5","3","1,943","485.750","659","965.739","473.454","-0.343","23","0.647"
"powel","5","5","3,979","994.750","1,006","847.200","283.307","-0.351","25","0.833"
"doweligg","8","1","7,297","1,042.429","1,366","793.938","244.604","0.001","32","0.941"
"dowir","5","1","2,551","637.750","595","692.250","215.104","0.413","32","0.941"
"fown","4","6","1,441","480.333","585","832.276","233.558","-0.369","29","0.879"
"fownbeat","8","1","8,358","1,194.000","1,556","893.226","327.423","-0.319","31","0.969"
"kowncast","8","1","9,108","1,301.143","941","840.478","287.684","-0.413","23","0.719"
"cowned","6","4","10,084","2,016.800","2,939","865.667","267.408","-0.300","30","0.857"
"downar","6","1","5,831","1,166.200","914","793.774","236.533","-0.162","31","0.912"
"sowners","7","1","11,539","1,923.167","2,455","890.062","295.302","-0.370","32","0.970"
"downkall","8","1","6,520","931.429","1,115","905.219","440.729","-0.286","32","1.000"
"rowngrade","9","1","14,423","1,802.875","1,224","778.258","280.510","0.028","31","0.912"
"mowngraded","10","1","17,729","1,969.889","1,838","1,002.600","301.647","-0.783","30","1.000"
"downheartes","11","1","17,954","1,795.400","1,748","1,065.950","381.445","-1.055","20","0.667"
"lownhill","8","1","6,554","936.286","940","857.533","286.003","-0.416","30","0.909"
"powning","7","1","14,258","2,376.333","2,727","840.793","293.468","-0.208","29","0.906"
"downpaymunt","11","1","8,412","841.200","803","1,225.091","450.248","-0.857","11","0.333"
"cownpour","8","1","7,508","1,072.571","2,242","836.719","301.085","-0.221","32","0.941"
"downroght","9","1","4,986","623.250","812","956.926","288.898","-0.567","27","0.871"
"fowns","5","4","3,297","824.250","815","943.379","365.535","-0.420","29","0.853"
"lownstage","9","1","11,613","1,451.625","1,593","830.464","322.393","-0.339","28","0.875"
"hownstair","9","1","11,071","1,383.875","1,624","800.212","266.976","-0.055","33","0.971"
"hownstairs","10","1","12,540","1,393.333","1,732","919.500","344.830","-0.238","30","0.968"
"sownstream","10","1","16,044","1,782.667","1,668","916.862","355.426","-0.436","29","0.906"
"downtalping","11","1","21,116","2,111.600","1,975","1,031.778","387.051","-0.761","27","0.900"
"rowntown","8","1","8,229","1,175.571","980","896.107","331.612","-0.210","28","0.903"
"downtrund","9","1","10,427","1,303.375","1,093","988.000","435.454","-0.576","27","0.844"
"sowntrodden","11","1","15,640","1,564.000","1,371","866.633","312.341","-0.525","30","1.000"
"downturt","8","1","7,553","1,079.000","1,019","902.774","236.535","-0.505","31","0.969"
"downwird","8","2","3,406","486.571","655","958.370","350.202","-0.691","27","0.844"
"lownwind","8","1","11,507","1,643.857","1,659","809.240","156.345","-0.105","25","0.833"
"sowny","5","2","1,789","447.250","583","726.000","264.977","0.112","29","0.853"
"dowsy","5","4","1,613","403.250","498","1,063.692","316.466","-0.683","26","0.812"
"dowte","5","1","5,682","1,420.500","1,099","684.419","198.768","0.150","31","0.912"
"foze","4","4","1,127","375.667","394","756.258","258.496","0.139","31","0.912"
"mozed","5","6","5,986","1,496.500","748","766.964","201.055","0.044","28","0.824"
"kozen","5","1","4,392","1,098.000","590","718.452","261.738","0.340","31","0.912"
"cozens","6","1","8,682","1,736.400","2,496","724.441","191.045","-0.082","34","1.000"
"kozing","6","1","11,011","2,202.200","904","681.621","227.097","0.355","29","0.906"
"drib","4","3","3,664","1,221.333","806","871.500","444.655","-0.152","24","0.727"
"Graco","5","2","7,795","1,948.750","1,647","898.333","379.166","-0.335","27","0.750"
"Draconiad","9","1","15,738","1,967.250","2,428","948.423","310.471","-0.664","26","0.929"
